gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B cells	C2: C1q+IL18+MCs	CD56brightCD16- NK cells	CD56dimCD16+ NK cells	CD8+ Exhausted T	CD8+ GZMB+ T	CD8+ GZMK+ T	MAIT	Naive T	Plasma cells	Treg	gd T
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS0621C1CFD	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS0CF5A502A	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS08B0C4086	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS02A1759A7	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS09AF6EAE2	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS06879CDAE	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS03DB6EA2A	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS0534F02DF	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS02C36592B	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS023DB57C8	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS0E7FD3233	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS084A7C9BE	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD8_LRP5	CPI-CS00A19B676	0.001	0.003	0.002	0.001	0.001	0.0	0.001	0.0	0.001	0.002	0.001	0.001
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS0FE6AA4D0	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS0782E09E8	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS05821E5C2	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS008F67A0E	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS0F1D971DE	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS041FF105F	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS0244B7A6E	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS09D520908	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS075091014	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS02E7B3383	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS01A382EA4	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS0B512D5C5	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS0702C5FFF	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP5	O75197	True	LRP5_HUMAN	FZD9_LRP5	CPI-CS072025B4D	0.001	0.0	0.004	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS0003C70E9	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS0B031BE95	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS078A03C00	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS0A527731D	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS0D1E4E6C2	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS02B0C68A5	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS0A63FEF59	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS08CEA5F29	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS088ED962D	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS06BD08CC7	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS07AFD4EEE	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS07C041B69	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS0FC4EF8DD	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP5	CPI-CS07C91771E	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0E9CB1664	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0B00A632D	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0E7296DCC	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0B3F661F1	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0E310104C	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0C7005FD1	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS05C98A8D6	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS010FE7150	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS01A368203	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS01FAD232C	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS08DE07AC9	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0F9D292EC	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS0F27DF509	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FZD10	Q9ULW2	True	FZD10_HUMAN	FZD10_LRP6	CPI-CS099B83C18	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0E9CB1664	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0B00A632D	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0E7296DCC	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0B3F661F1	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0E310104C	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0C7005FD1	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS05C98A8D6	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS010FE7150	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS01A368203	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS01FAD232C	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS08DE07AC9	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0F9D292EC	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS0F27DF509	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD10_LRP6	CPI-CS099B83C18	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0F29C6285	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS01D8707DF	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0D8D740D0	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0113A05E1	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS03744A892	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS07B775F8D	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0C85FC57D	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS05CFD8AFA	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS04F856260	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS064EF7C8D	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0CF3656D2	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0BCEC27D8	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS034FCACC9	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD1_LRP6	CPI-CS0009D06D0	0.002	0.019	0.001	0.001	0.001	0.0	0.001	0.0	0.001	0.001	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS031A2034E	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0FCBFAE02	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS024B9BE75	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS09FB07CB1	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS09572EF0C	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0A038267C	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0DB31673B	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0E53563BA	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS01E56069F	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0AF09AF14	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0B92EA5EA	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS0F53060BB	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS01E9D00D4	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD2_LRP6	CPI-CS06AA33194	0.002	0.019	0.003	0.001	0.001	0.006	0.0	0.0	0.0	0.001	0.0	0.004
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS00F8E8AC0	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS090834433	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0BDA45927	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0F06108D6	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0BF2D6216	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0C5CBB4DA	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS02B24ACED	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS05594052B	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS096783D6D	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS067ECB5FE	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS039773901	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS096856900	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0EA080D52	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD3_LRP6	CPI-CS0035C50D6	0.005	0.019	0.003	0.001	0.001	0.006	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS055AB879D	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS06CF549E0	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0A56528EB	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS01BA77CE7	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0349DDD33	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS07E36B000	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0F73F8631	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS04D0A3F59	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0149222E6	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0B3531507	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS096FD79C8	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0AF64B48C	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0B6EFDA1A	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD4_LRP6	CPI-CS0EBC9A333	0.001	0.002	0.003	0.001	0.001	0.006	0.001	0.0	0.001	0.0	0.002	0.001
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0AC9A92AD	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS016BAF864	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS07277CD50	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS00DEA8C12	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0444041A5	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0557988CE	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS06703B08B	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0725C2185	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS092A988FB	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0C2B25B68	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0854644B2	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS05C76711D	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0CC6D5AFF	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS01E2B7EF5	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD5_LRP6	CPI-CS0CCD8150B	0.003	0.019	0.003	0.001	0.001	0.002	0.002	0.0	0.003	0.001	0.001	0.003
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS062754C53	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS0382E5A36	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS0C9174A37	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS01521EE2B	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS0A2518705	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS00F608BF1	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
LRP6	O75581	True	LRP6_HUMAN	FZD6_LRP6	CPI-CS06F5B58EC	0.005	0.002	0.003	0.001	0.001	0.005	0.002	0.0	0.004	0.001	0.002	0.005
